T25,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
24,Angola,2004,Threatened Species: Plants (number),26,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2010,Threatened Species: Plants (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2015,Threatened Species: Plants (number),34,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2019,Threatened Species: Plants (number),36,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2020,Threatened Species: Plants (number),43,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2021,Threatened Species: Plants (number),48,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2022,Threatened Species: Plants (number),69,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2004,Threatened Species: Total (number),76,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2010,Threatened Species: Total (number),117,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
24,Angola,2015,Threatened Species: Total (number),130,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
